iter	RMSE
487	0.3380867537
488	0.3378280741
489	0.3377257877
490	0.3376423432
491	0.3373705264
492	0.3371955248
493	0.3369954997
494	0.336783129
495	0.3366737209
496	0.3365100862
497	0.3363533642
498	0.3362767304
499	0.3361744198
500	0.3360483102
501	0.3358339715
502	0.335763642
503	0.3355719062
504	0.3355074039
505	0.3353397541
506	0.3352236602
507	0.3351047819
508	0.335021389
509	0.3349036174
510	0.3347745252
511	0.3347167743
512	0.3345652083
513	0.3343740873
514	0.3341694876
515	0.3340229845
516	0.3339144268
517	0.3336944008
518	0.3334545475
519	0.333351444
520	0.3332098689
521	0.333131718
522	0.3329038045
523	0.3326799668
524	0.3325235688
525	0.3323591641
526	0.3322987525
527	0.332120662
528	0.3319832686
529	0.3318123543
530	0.331683433
531	0.3314380854
532	0.3312879548
533	0.3312041537
534	0.3310980145
535	0.3309600982
536	0.3307643231
537	0.3307250287
538	0.3305197951
539	0.330482417
540	0.3302838455
541	0.3300470122
542	0.3299033283
543	0.3298068751
544	0.3296025142
545	0.3294786192
546	0.3293735423
547	0.3292827665
548	0.3290807015
549	0.3288640239
550	0.3286907325
551	0.3286435511
552	0.32845835
553	0.3284037011
554	0.3282503977
555	0.3280328244
556	0.3279051223
557	0.3278070508
558	0.3276117265
559	0.3274106932
560	0.3273874399
561	0.3271562087
562	0.3270199771
563	0.3268394833
564	0.3267090854
565	0.3266828302
566	0.3265153973
567	0.3263258961
568	0.3262047981
569	0.3261133774
570	0.3260642381
571	0.3260511722
572	0.325880443
573	0.325699705
574	0.3256421566
575	0.3256348967
576	0.3255700254
577	0.325449959
578	0.3253028687
579	0.3251295315
580	0.3250064728
581	0.3248498752
582	0.3247022374
583	0.3245141977
584	0.3243986198
585	0.3242496346
586	0.3241313512
587	0.3240023374
588	0.3239080464
589	0.323687768
590	0.3236213623
591	0.3234510489
592	0.3233440636
593	0.3232323096
594	0.3231434352
595	0.323007237
596	0.3229446224
597	0.3228179074
598	0.3227789819
599	0.3226035066
600	0.3224069482
601	0.3222601104
602	0.3220503542
603	0.321897476
604	0.3216354792
605	0.3215302184
606	0.3213448937
607	0.3211985459
608	0.3210207363
609	0.3208588963
610	0.3206430459
611	0.3204750604
612	0.3202387237
613	0.320084548
614	0.3200257227
615	0.3199951044
616	0.3198530114
617	0.3197204386
618	0.3195464417
619	0.3194820536
620	0.3192566439
621	0.3190614925
622	0.3189089932
623	0.3187401576
624	0.3185465931
625	0.3183704721
626	0.318223856
627	0.3181176709
628	0.3180479785
629	0.3179654996
630	0.3179228315
631	0.3178162001
632	0.3177878913
633	0.3176240582
634	0.3176039574
635	0.3174870558
636	0.317361226
637	0.3171970185
638	0.3169926279
639	0.3168614909
640	0.3167930378
641	0.3167333443
642	0.3165798135
643	0.316354664
644	0.3162304038
645	0.3160349545
646	0.315866296
647	0.3158125216
648	0.3157423204
649	0.3156159755
650	0.3155424165
651	0.3153147841
652	0.3151172044
653	0.3149345403
654	0.3148249322
655	0.3147130622
656	0.3145670698
657	0.314424439
658	0.3141880709
659	0.3139612451
660	0.3137164475
661	0.3135066988
662	0.3134664742
663	0.313388905
664	0.3132602991
665	0.3131255588
666	0.3130162403
667	0.3128819021
668	0.3127179839
669	0.312640255
670	0.3125563491
671	0.3122656543
672	0.3122179978
673	0.3121716504
674	0.312037066
675	0.3119686237
676	0.3117827837
677	0.311599993
678	0.3113207437
679	0.3111763765
680	0.3109780779
681	0.3108596008
682	0.3107861205
683	0.3106925464
684	0.3105362649
685	0.3104070669
686	0.3102317682
687	0.3101375021
688	0.3100454908
689	0.3099163771
690	0.3097965221
691	0.3097217517
692	0.3096595388
693	0.3095664391
694	0.3093967795
695	0.3092035378
696	0.3090399991
697	0.3089417078
698	0.3088216063
699	0.3086765053
700	0.3085346199
701	0.3084492541
702	0.3083768885
703	0.3082442773
704	0.3081305596
705	0.3080880614
706	0.3079570304
707	0.3079183141
708	0.3077751802
709	0.3077007385
710	0.3076541471
711	0.3074985444
712	0.3074050021
713	0.307202865
714	0.3070556871
715	0.306961917
716	0.3068794817
717	0.3067188296
718	0.3066049575
719	0.3065451517
720	0.3064564966
721	0.3064047095
722	0.3063204373
723	0.3061676787
724	0.3060376469
725	0.3059893661
726	0.3058682783
727	0.3057746763
728	0.3057077869
729	0.3054977741
730	0.3053222821
731	0.3052214739
732	0.3051854638
733	0.3051124441
734	0.3049790405
735	0.3048435898
736	0.3046957932
737	0.3044906148
738	0.3044365954
739	0.3042618421
740	0.3041248678
741	0.3040202898
742	0.3039617692
743	0.3038434088
744	0.3037503215
745	0.303544799
746	0.3034797913
747	0.3033824213
748	0.3032487666
749	0.3031028369
750	0.3030175121
751	0.3028875385
752	0.3027405073
753	0.3026254609
754	0.3024309064
755	0.3023553373
756	0.3021844703
757	0.3020587993
758	0.3019558909
759	0.3017984828
760	0.3015606245
761	0.3014974023
762	0.3013949637
763	0.301307035
764	0.3011536926
765	0.3010232522
766	0.3008751747
767	0.3007975645
768	0.300679014
769	0.3005003423
770	0.3003166054
771	0.3002191447
772	0.2999987793
773	0.2999348752
774	0.2998265015
775	0.2997033174
776	0.2995616779
777	0.2994267119
778	0.299287348
779	0.2992298736
780	0.2991300592
781	0.2990340487
782	0.2988791725
783	0.2987246383
784	0.2986082627
785	0.2985691518
786	0.2985080087
787	0.2983965122
788	0.2982900214
789	0.2981204823
790	0.2979492215
791	0.2977335038
792	0.2975200366
793	0.2973362782
794	0.2972591402
795	0.2971945512
796	0.2970859585
797	0.2969513882
798	0.2967875419
799	0.2966109846
